epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
130,43335.56002247432,43335.56002247432,46146.865930008564,46146.865930008564
131,43275.59398544521,43275.59398544521,45221.2600385274,45221.2600385274
132,43296.80109696062,43296.80109696062,45663.67006635274,45663.67006635274
133,43258.24729773116,43258.24729773116,45517.275775898976,45517.275775898976
134,43254.8082619863,43254.8082619863,45417.87810359589,45417.87810359589
135,43213.77049978596,43213.77049978596,45264.05557577055,45264.05557577055
136,43222.47243150685,43222.47243150685,46683.879719606164,46683.879719606164
137,43213.28448202055,43213.28448202055,45582.88556827911,45582.88556827911
138,43200.306736943494,43200.306736943494,45364.366727311644,45364.366727311644
139,43185.109069991435,43185.109069991435,44905.90355308219,44905.90355308219
140,43178.969295804796,43178.969295804796,46062.36357020548,46062.36357020548
141,43161.77023223459,43161.77023223459,45733.01693065069,45733.01693065069
142,43171.73362050514,43171.73362050514,45598.40031035959,45598.40031035959
143,43090.28928724315,43090.28928724315,45285.910546875,45285.910546875
144,43099.06372538528,43099.06372538528,45925.522929152394,45925.522929152394
145,43087.68478167808,43087.68478167808,46332.6613869863,46332.6613869863
146,43088.036087328765,43088.036087328765,46546.44882277397,46546.44882277397
147,43084.05939640411,43084.05939640411,45281.97432577055,45281.97432577055
148,43073.01023651541,43073.01023651541,45526.794825556506,45526.794825556506
149,43052.78046875,43052.78046875,45087.1774614726,45087.1774614726
150,43061.115780179796,43061.115780179796,45674.46651862158,45674.46651862158
151,43029.17848886986,43029.17848886986,44977.577985873286,44977.577985873286
152,43003.15166952055,43003.15166952055,45438.26178831336,45438.26178831336
153,43022.42673373288,43022.42673373288,45656.596553938354,45656.596553938354
154,43000.253611943495,43000.253611943495,45326.28426797945,45326.28426797945
155,42991.59411922089,42991.59411922089,45000.79719071062,45000.79719071062
156,42974.892877782535,42974.892877782535,46271.932138270546,46271.932138270546
157,42960.34139554795,42960.34139554795,45789.19631849315,45789.19631849315
158,42994.63591609589,42994.63591609589,45448.180789811646,45448.180789811646
159,42929.1396671661,42929.1396671661,45474.478210616435,45474.478210616435
160,42932.69512521404,42932.69512521404,45751.114656464044,45751.114656464044
161,42971.39081228596,42971.39081228596,45295.52820526541,45295.52820526541
162,42926.535215111304,42926.535215111304,45238.91879815925,45238.91879815925
163,42907.918824914384,42907.918824914384,45299.881282106166,45299.881282106166
164,42941.18260380993,42941.18260380993,45493.83790132705,45493.83790132705
165,42885.00820847603,42885.00820847603,45239.78799229452,45239.78799229452
166,42888.29148651541,42888.29148651541,45305.59852846747,45305.59852846747
167,42908.251739083906,42908.251739083906,46097.84057148972,46097.84057148972
168,42862.568744648976,42862.568744648976,45665.034257277395,45665.034257277395
169,42873.586948844175,42873.586948844175,45308.84215539384,45308.84215539384
170,42852.28396832192,42852.28396832192,44903.19078553082,44903.19078553082
171,42857.77395654966,42857.77395654966,45223.837676583906,45223.837676583906
172,42848.855372431506,42848.855372431506,46210.59202161815,46210.59202161815
173,42794.849234803085,42794.849234803085,45634.58426262842,45634.58426262842
174,42828.817219606164,42828.817219606164,45269.37114726027,45269.37114726027
175,42788.4154484161,42788.4154484161,45127.76675406678,45127.76675406678
176,42834.314233732875,42834.314233732875,45103.57555115582,45103.57555115582
177,42793.936691994866,42793.936691994866,45503.5475973887,45503.5475973887
178,42791.10761986301,42791.10761986301,45141.75268086472,45141.75268086472
179,42761.05305008562,42761.05305008562,45800.962473244865,45800.962473244865
180,42743.855211900685,42743.855211900685,45403.756164383565,45403.756164383565
181,42790.943418236304,42790.943418236304,45189.824315068494,45189.824315068494
182,42738.79346104452,42738.79346104452,45307.97000214041,45307.97000214041
183,42733.28083797089,42733.28083797089,45049.74608304795,45049.74608304795
184,42746.47843000856,42746.47843000856,45146.595879708904,45146.595879708904
185,42745.4246682363,42745.4246682363,45534.04883347603,45534.04883347603
186,42716.00824058219,42716.00824058219,44679.57101348459,44679.57101348459
187,42783.91281571062,42783.91281571062,45072.43642444349,45072.43642444349
188,42694.10416845034,42694.10416845034,44762.07739726028,44762.07739726028
189,42722.148892337325,42722.148892337325,44675.36084118151,44675.36084118151
190,42708.90452161815,42708.90452161815,45283.883508133564,45283.883508133564
191,42698.06052547089,42698.06052547089,44881.19874785959,44881.19874785959
192,42720.43518300514,42720.43518300514,45007.16880351027,45007.16880351027
193,42705.53611943493,42705.53611943493,45329.72911494007,45329.72911494007
194,42659.276492936646,42659.276492936646,45504.67590967466,45504.67590967466
195,42662.31676476884,42662.31676476884,45408.423565924655,45408.423565924655
196,42677.66593535959,42677.66593535959,44802.51331335616,44802.51331335616
197,42682.84805757705,42682.84805757705,45388.28782641267,45388.28782641267
198,42655.233914811644,42655.233914811644,45558.84495933219,45558.84495933219
199,42643.14069456336,42643.14069456336,44508.18615154109,44508.18615154109
200,42686.192214255134,42686.192214255134,44945.9344338613,44945.9344338613
201,42617.79748501712,42617.79748501712,44511.359877996576,44511.359877996576
202,42663.5973244863,42663.5973244863,44894.756442636986,44894.756442636986
203,42628.757352311644,42628.757352311644,44738.19662885274,44738.19662885274
204,42638.860397046235,42638.860397046235,45568.32092251712,45568.32092251712
205,42635.17516053082,42635.17516053082,45220.37615047089,45220.37615047089
206,42610.6290239726,42610.6290239726,45599.684369648974,45599.684369648974
207,42620.99691780822,42620.99691780822,45025.33792808219,45025.33792808219
208,42620.735744863014,42620.735744863014,46050.79070526541,46050.79070526541
209,42637.52324486301,42637.52324486301,44712.07117401541,44712.07117401541
210,42595.511140839044,42595.511140839044,45174.37183754281,45174.37183754281
211,42599.16034353596,42599.16034353596,44646.62961793665,44646.62961793665
212,42605.1068546661,42605.1068546661,44965.59012200342,44965.59012200342
213,42607.66408657962,42607.66408657962,45233.762221746576,45233.762221746576
