epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
79,45109.58562535673,45109.58562535673,24156.09118150685,24156.09118150685
80,45041.236622431505,45041.236622431505,26971.51518799943,26971.51518799943
81,44978.43280893265,44978.43280893265,23015.86319206621,23015.86319206621
82,44700.226901398404,44700.226901398404,24753.654225527967,24753.654225527967
83,44815.73729130993,44815.73729130993,22148.026113013697,22148.026113013697
84,44673.35039419235,44673.35039419235,23800.752363370433,23800.752363370433
85,44453.330854023974,44453.330854023974,27104.69825556507,27104.69825556507
86,44470.64514661815,44470.64514661815,23415.67117936644,23415.67117936644
87,44666.32107056221,44666.32107056221,23458.59269763128,23458.59269763128
88,44434.16270690639,44434.16270690639,24621.67584367865,24621.67584367865
89,44498.65175513698,44498.65175513698,22972.58422517123,22972.58422517123
90,44405.1934842323,44405.1934842323,22155.73597138984,22155.73597138984
91,44195.72480557934,44195.72480557934,24148.740822988013,24148.740822988013
92,44116.845399900114,44116.845399900114,19552.895815496577,19552.895815496577
93,44275.97667843893,44275.97667843893,21937.28479951484,21937.28479951484
94,44132.44362692637,44132.44362692637,20254.67329302226,20254.67329302226
95,44114.08327982306,44114.08327982306,23660.697060502283,23660.697060502283
96,43935.779163099316,43935.779163099316,22183.035187464327,22183.035187464327
97,44371.99673587329,44371.99673587329,23540.749054651827,23540.749054651827
98,44070.401202197485,44070.401202197485,20307.366465111303,20307.366465111303
99,44069.34577447203,44069.34577447203,20549.83798426798,20549.83798426798
100,43795.93646546804,43795.93646546804,22533.16780821918,22533.16780821918
101,44116.627898473176,44116.627898473176,23216.95339255137,23216.95339255137
102,43610.84023615868,43610.84023615868,22456.13741438356,22456.13741438356
103,44006.70271475457,44006.70271475457,21080.657440603594,21080.657440603594
104,43680.20676815782,43680.20676815782,24247.284790596463,24247.284790596463
105,43528.79918486016,43528.79918486016,19411.5233527754,19411.5233527754
106,43585.38790489441,43585.38790489441,20908.98581085902,20908.98581085902
107,43466.15177743293,43466.15177743293,23500.84099422089,23500.84099422089
108,43528.86403931221,43528.86403931221,22862.555427725456,22862.555427725456
109,43525.091020976026,43525.091020976026,20950.967724386417,20950.967724386417
110,43606.06694135274,43606.06694135274,17051.26712328767,17051.26712328767
111,43430.82988637985,43430.82988637985,18980.67337774686,18980.67337774686
112,43248.922213898404,43248.922213898404,23631.304094427796,23631.304094427796
113,43178.651050585046,43178.651050585046,22462.087471461185,22462.087471461185
114,43397.82346960616,43397.82346960616,24684.586419092466,24684.586419092466
115,43054.33025203339,43054.33025203339,22250.046134774544,22250.046134774544
116,43093.42246361302,43093.42246361302,24579.340780179795,24579.340780179795
117,43321.301120148404,43321.301120148404,24515.57545394549,24515.57545394549
118,43096.16509703196,43096.16509703196,20906.70268799943,20906.70268799943
119,42870.76400185502,42870.76400185502,19578.553394335046,19578.553394335046
120,42849.43319242295,42849.43319242295,25870.68632723316,25870.68632723316
121,42942.185404180935,42942.185404180935,17790.77411975599,17790.77411975599
122,42854.57066477597,42854.57066477597,20861.103096461185,20861.103096461185
123,42767.317480914666,42767.317480914666,20463.18411101598,20463.18411101598
124,42911.261482412956,42911.261482412956,21011.334372324487,21011.334372324487
125,42821.229380707766,42821.229380707766,18099.972584902967,18099.972584902967
126,42951.211873929795,42951.211873929795,19830.707793771406,19830.707793771406
127,42372.34517248145,42372.34517248145,23479.4520637129,23479.4520637129
128,42657.48936037386,42657.48936037386,20677.32848173516,20677.32848173516
129,42596.98676066638,42596.98676066638,23923.86186322774,23923.86186322774
130,42553.117526398404,42553.117526398404,20057.202375856163,20057.202375856163
131,42428.349832334476,42428.349832334476,19244.762994078195,19244.762994078195
132,42278.06661583191,42278.06661583191,19384.76733286958,19384.76733286958
133,42358.16974796661,42358.16974796661,17859.868195276827,17859.868195276827
134,42072.73306399829,42072.73306399829,25699.08956728025,25699.08956728025
135,42349.471536993435,42349.471536993435,22430.33584385702,22430.33584385702
136,42269.566504352166,42269.566504352166,19125.99394442066,19125.99394442066
137,42165.25452161815,42165.25452161815,20183.403182077625,20183.403182077625
138,42085.6453829552,42085.6453829552,19610.013020833332,19610.013020833332
139,42254.36850742009,42254.36850742009,22379.698545412386,22379.698545412386
140,41873.48178867009,41873.48178867009,19032.1395637129,19032.1395637129
141,41930.46070562214,41930.46070562214,23417.445646939213,23417.445646939213
142,41983.055989583336,41983.055989583336,22655.345221532534,22655.345221532534
143,41895.229960402394,41895.229960402394,21763.713822595604,21763.713822595604
144,41941.84328624429,41941.84328624429,21739.454583154966,21739.454583154966
145,42000.43129280822,42000.43129280822,21294.954685716326,21294.954685716326
146,41698.57203374714,41698.57203374714,21368.90356556792,21368.90356556792
147,41747.04682148973,41747.04682148973,19309.78772920234,19309.78772920234
148,41630.14518675086,41630.14518675086,18384.168182791094,18384.168182791094
149,41638.74704801655,41638.74704801655,18068.512476812215,18068.512476812215
150,41390.08542023402,41390.08542023402,18588.2568359375,18588.2568359375
151,41513.76864387129,41513.76864387129,21434.319286886417,21434.319286886417
152,41579.94063926941,41579.94063926941,20219.99183076484,20219.99183076484
153,41392.366090539384,41392.366090539384,21253.050935092037,21253.050935092037
154,41861.91460652112,41861.91460652112,17820.60083119292,17820.60083119292
155,41189.92052832477,41189.92052832477,19812.685328374715,19812.685328374715
156,41329.655144121,41329.655144121,19730.02418887343,19730.02418887343
157,41274.562076377,41274.562076377,22942.951720355308,22942.951720355308
158,41555.61031588898,41555.61031588898,23540.883782373716,23540.883782373716
159,41173.2915685645,41173.2915685645,22442.445878817067,22442.445878817067
160,41233.204324521976,41233.204324521976,22119.02176530394,22119.02176530394
161,41254.90317315925,41254.90317315925,27172.64276987015,27172.64276987015
162,41150.8115234375,41150.8115234375,19509.36798123573,19509.36798123573
163,40996.43944420662,40996.43944420662,19898.266218072204,19898.266218072204
164,40937.193939069635,40937.193939069635,28077.134025399544,28077.134025399544
165,40991.39354576912,40991.39354576912,16391.404167558503,16391.404167558503
166,40778.97471193636,40778.97471193636,17173.841190425228,17173.841190425228
167,40833.23310859018,40833.23310859018,22525.55504869435,22525.55504869435
168,40985.79395423088,40985.79395423088,21731.05928938356,21731.05928938356
169,40712.04552832477,40712.04552832477,19165.039383561645,19165.039383561645
170,40925.85312321632,40925.85312321632,16777.779885488013,16777.779885488013
171,40614.37976687357,40614.37976687357,19117.703611051656,19117.703611051656
172,40657.2684298302,40657.2684298302,19175.863941210046,19175.863941210046
173,40678.91522188927,40678.91522188927,18116.636419984305,18116.636419984305
174,40502.44622217466,40502.44622217466,16861.29954605451,16861.29954605451
175,40851.42240118436,40851.42240118436,18318.997627711185,18318.997627711185
176,40762.41821846461,40762.41821846461,20321.861800799088,20321.861800799088
177,40585.56935823345,40585.56935823345,20349.356770833332,20349.356770833332
178,40750.14652004852,40750.14652004852,21683.94083770334,21683.94083770334
179,40470.72924247289,40470.72924247289,16124.466582833904,16124.466582833904
180,40513.06288794948,40513.06288794948,17600.00630975314,17600.00630975314
181,40502.469387664096,40502.469387664096,20812.85786333476,20812.85786333476
182,40346.48516873573,40346.48516873573,20044.964281892124,20044.964281892124
