Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,22306,-,-,India,24.65,73.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2012,1,1,20,30,0,0,0,0,0,0,10,16.92535145699742,958.5806884765625,65.05080960903561,123.68106951237382,1.3928249754067226,0.0,21.361106872558594,3.6637535095214844,0
2012,1,1,21,30,0,0,0,0,0,0,10,16.208304563381944,958.8414916992188,70.33067539126169,137.09660668969667,1.3907954349600755,0.0,30.023330688476562,3.6522369384765625,0
2012,1,1,22,30,0,0,0,0,0,0,11,15.540967884713723,958.6204223632812,76.23823333556695,150.6522466180752,1.3977242202494846,0.0,36.9776725769043,3.5716373920440674,0
2012,1,1,23,30,0,0,0,0,0,0,12,14.899014296295434,958.7837524414062,82.84432860702819,164.2729915166147,1.413910747262052,0.0,41.99363327026367,3.4602670669555664,0
2012,1,2,0,30,0,0,0,0,0,0,12,14.347664324536026,958.9521484375,88.64428671908091,177.45873763580786,1.4304982131139168,0.0,46.690948486328125,3.380281448364258,0
2012,1,2,1,30,0,0,0,0,0,0,12,13.85188640604133,958.8167724609375,92.46058814348987,168.1062678476681,1.4336932584285371,0.0,51.482582092285156,3.357280731201172,0
2012,1,2,2,30,0,0,0,0,0,0,12,13.326149905960563,958.584716796875,95.4061331463132,154.4886119727343,1.4216445259792625,0.0,52.203392028808594,3.2780020236968994,0
2012,1,2,3,30,0,0,0,0,0,0,12,12.801372989414233,958.8329467773438,98.48890551659262,140.90439588037674,1.3924221216028532,0.0,51.46830749511719,3.2008726596832275,0
2012,1,2,4,30,0,0,0,0,0,0,12,12.307652138809317,959.1730346679688,100.0,127.43936607535716,1.3555174866618416,0.0,51.46330261230469,3.127873659133911,0
2012,1,2,5,30,0,0,0,0,0,0,11,11.840268650082578,959.5604248046875,100.0,114.16901152754461,1.3113834802780195,0.0,52.52207946777344,3.0490612983703613,0
